mission_name,timestamp,BatteryStatus0_current_a,BatteryStatus0_current_average_a,BatteryStatus0_current_filtered_a,BatteryStatus0_discharged_mah,BatteryStatus0_remaining,BatteryStatus0_scale,BatteryStatus0_time_remaining_s,BatteryStatus0_voltage_filtered_v,BatteryStatus0_voltage_v,BatteryStatus1_current_average_a,BatteryStatus1_scale,SensorBaro0_pressure,SensorBaro0_temperature,SensorBaro1_pressure,SensorBaro1_temperature
10min_square_0,1970-01-01 00:15:44,26.47583,25.56144,25.473818,1787.0055,0.9153918,1.021623,2836.063,23.315115,23.289999,6.1041007,1.28125,99562.914,56.28,99559.5,40.01
10min_square_0,1970-01-01 00:15:46,26.716064,25.608889,26.755312,1801.9718,0.91470623,1.0212549,2828.646,23.285353,23.28125,6.055512,1.28125,99562.01,56.44,99562.375,40.01
10min_square_0,1970-01-01 00:15:48,26.961304,25.655867,26.979406,1814.0931,0.9141511,1.0214474,2821.71,23.274088,23.27125,6.0073094,1.28125,99566.3,56.57,99560.945,39.969997
10min_square_0,1970-01-01 00:15:50,23.973389,25.671215,25.157484,1828.5629,0.9134864,1.0227486,2818.6304,23.298107,23.332499,5.9594903,1.28125,99562.484,56.42,99562.375,39.96
10min_square_0,1970-01-01 00:15:52,25.494873,25.643353,25.386808,1843.9792,0.9127768,1.0221717,2819.1619,23.304802,23.29875,5.912052,1.28125,99566.414,56.28,99559.305,39.94
10min_square_0,1970-01-01 00:15:54,25.975342,25.6436,25.92026,1859.033,0.9120858,1.0219371,2816.8948,23.294321,23.28875,5.876722,1.28125,99562.64,56.449997,99560.32,39.91
10min_square_0,1970-01-01 00:15:56,26.27063,25.668816,26.24452,1873.7278,0.9114125,1.0220408,2811.9912,23.282152,23.27875,5.829943,1.28125,99560.01,56.57,99558.086,39.87
10min_square_0,1970-01-01 00:15:58,25.755127,25.678883,25.742296,1888.1998,0.9107483,1.0224887,2808.9553,23.286676,23.2875,5.7835364,1.28125,99555.695,56.41,99556.414,39.84
10min_square_0,1970-01-01 00:16:00,25.424805,25.691696,25.856565,1902.7177,0.91008246,1.022508,2805.5767,23.282793,23.29125,5.748974,1.28125,99559.23,56.27,99557.875,39.8
10min_square_0,1970-01-01 00:16:02,25.64502,25.682377,25.317087,1916.9475,0.9094291,1.0227833,2804.5298,23.292503,23.2875,5.6918283,1.28125,99561.22,56.449997,99559.15,39.77
10min_square_0,1970-01-01 00:16:04,25.054443,25.678637,25.360197,1931.2242,0.90877426,1.0228113,2803.0464,23.290554,23.29875,5.646521,1.28125,99557.664,56.559998,99555.58,39.739998
10min_square_0,1970-01-01 00:16:06,24.308716,25.654116,24.805351,1945.1995,0.9081328,1.0231119,2803.903,23.300129,23.3125,5.601575,1.28125,99550.19,56.39,99551.05,39.69
10min_square_0,1970-01-01 00:16:08,25.680054,25.609413,24.855024,1957.4943,0.90756756,1.0228268,2806.7395,23.305342,23.283749,5.5569863,1.28125,99554.35,56.27,99554.04,39.64
10min_square_0,1970-01-01 00:16:10,25.6516926666667,25.627182,25.3918793333333,1972.28673333333,0.906890873333333,1.02282593333333,2802.71786666667,23.2892573333333,23.2808326666667,5.5127525,1.28125,99552.375,56.469997,99551.33,39.57
10min_square_0,1970-01-01 00:16:12,25.6233313333333,25.644951,25.9287346666667,1987.07916666667,0.906214186666667,1.02282506666667,2798.69623333333,23.2731726666667,23.2779163333333,5.46887,1.28125,99561.26,56.55,99561.9,39.52
10min_square_0,1970-01-01 00:16:14,25.59497,25.66272,26.46559,2001.8716,0.9055375,1.0228242,2794.6746,23.257088,23.275,5.425338,1.28125,99564.12,56.36,99562.125,39.52
10min_square_0,1970-01-01 00:16:16,24.739136,25.639715,24.869614,2015.8531,0.90489566,1.0236902,2795.3806,23.284618,23.29125,5.382152,1.28125,99565.15,56.289997,99559.96,39.53
10min_square_0,1970-01-01 00:16:18,25.359741,25.613997,25.059713,2029.8259,0.9042548,1.0233991,2796.0652,23.28575,23.2775,5.33931,1.28125,99562.68,56.5,99558.93,39.54
10min_square_0,1970-01-01 00:16:20,26.120483,25.61962,25.945051,2044.2369,0.9035956,1.0229541,2793.249,23.269648,23.26125,5.307402,1.28125,99562.11,56.55,99559.46,39.53
10min_square_0,1970-01-01 00:16:22,27.161499,25.655857,26.905193,2057.667,0.9029825,1.022648,2787.1934,23.248043,23.23375,5.265155,1.28125,99564.03,56.35,99562.8,39.52
10min_square_0,1970-01-01 00:16:24,26.160522,25.706244,26.440355,2074.1252,0.9022313,1.0234017,2779.6433,23.244268,23.25125,5.223244,1.28125,99567.54,56.27,99564.266,39.52
